listing_id,title,price_raw,bedrooms_raw,bathrooms_raw,size_raw,location,property_type,status,listing_type,agent,url,scraped_at
3927145,3 Bed House with En Suite in Karen,"KSh 200,000/ month",3 Bedrooms,3 Bathrooms,,,House,,rent,Spacious Modern 3-Bedroom Bungalow,https://www.buyrentkenya.com/listings/3-bedroom-house-for-rent-karen-3927145,2026-03-05 17:07
3927143,3 Bed House with En Suite in Karen,"KSh 150,000/ month",3 Bedrooms,3 Bathrooms,,,House,,rent,3-Bedroom House in a Gated Community in Karen!,https://www.buyrentkenya.com/listings/3-bedroom-house-for-rent-karen-3927143,2026-03-05 17:07
3927142,4 Bed House with En Suite in Karen,"KSh 450,000/ month",4 Bedrooms,4 Bathrooms,,,House,,rent,Spacious & Elegant 4-Bedroom All-Ensuite Home i...,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-karen-3927142,2026-03-05 17:07
3927141,4 Bed House with En Suite in Karen,"KSh 350,000/ month",4 Bedrooms,4 Bathrooms,,,House,,rent,Stunning 4 Bedroom House in Karen!,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-karen-3927141,2026-03-05 17:07
3927140,6 Bed House with En Suite in Karen,"KSh 350,000/ month",6 Bedrooms,6 Bathrooms,,,House,,rent,Executive 6-Bedroom House in Karen!,https://www.buyrentkenya.com/listings/6-bedroom-house-for-rent-karen-3927140,2026-03-05 17:07
3927139,4 Bed House with En Suite at Lower Kabete Rd,"KSh 250,000/ month",4 Bedrooms,3 Bathrooms,,"Bedroom Townhouse Spring Valley, Westlands",House,,rent,Elegant & Spacious 4-Bedroom Townhouse,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-spring-valley-3927139,2026-03-05 17:07
3927136,3 Bed House with Garden at Sarit Centre Roundabout,"KSh 200,000/ month",3 Bedrooms,2 Bathrooms,,"Commercial Maisonette For Rent Westlands Area, Westlands",House,,rent,3 bedroom Commercial Maisonette For Rent,https://www.buyrentkenya.com/listings/3-bedroom-house-for-rent-westlands-area-3927136,2026-03-05 17:07
3927130,4 Bed Townhouse with Garden at Old Muthaiga,"KSh 550,000/ month",4 Bedrooms,5 Bathrooms,,,Townhouse,,rent,Spectacular 4 bedroom House on One acre in old...,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-muthaiga-3927130,2026-03-05 17:07
3927125,5 Bed Townhouse with En Suite at Mzima Springs,"KSh 575,000/ month",5 Bedrooms,5 Bathrooms,,,Townhouse,,rent,AN ELEGANT FIVE BEDROOM TOWNHOUSE FOR RENT IN L...,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-lavington-3927125,2026-03-05 17:07
3927120,5 Bed Townhouse with En Suite at Lavington Green,"KSh 440,000/ month",5 Bedrooms,5 Bathrooms,,,Townhouse,,rent,A CHARMING MODERN FIVE BEDROOM TOWNHOUSE FOR RE...,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-lavington-3927120,2026-03-05 17:07
3927090,5 Bed Villa with En Suite in Lavington,"KSh 780,000/ month",5 Bedrooms,7 Bathrooms,,,Villa,,rent,New 5 Bedrooms - Lavington,https://www.buyrentkenya.com/listings/5-bedroom-villa-for-rent-lavington-3927090,2026-03-05 17:07
3927093,5 Bed Townhouse with En Suite in Karen,"KSh 250,000/ month",5 Bedrooms,5 Bathrooms,,,Townhouse,,rent,5 bedroom Townhouse To Let in Karen,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-karen-3927093,2026-03-05 17:07
3927077,5 Bed Townhouse with En Suite at Lavington,"KSh 450,000/ month",5 Bedrooms,6 Bathrooms,695 m²,,Townhouse,,rent,Lavington 5 Bedroom Townhouse to Let,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-lavington-3927077,2026-03-05 17:07
3927082,2 Bed House with En Suite in Nyari,"KSh 190,000/ month",2 Bedrooms,2 Bathrooms,,"Bedrooms Apartment in Nyari Nyari, Westlands",House,,rent,Furnished 2 Bedrooms Apartment in Nyari,https://www.buyrentkenya.com/listings/furnished-2-bedroom-house-for-rent-nyari-3927082,2026-03-05 17:07
3927068,4 Bed House with En Suite in Lavington,"KSh 650,000/ month",4 Bedrooms,,,,House,,rent,4 Bedroom Spacious on more than An Acre,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-lavington-3927068,2026-03-05 17:07
3927064,4 Bed Townhouse with En Suite at Lavington,"KSh 380,000/ month",4 Bedrooms,4 Bathrooms,,,Townhouse,,rent,An expansive 4 bedrooms townhouse for rent in L...,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-lavington-3927064,2026-03-05 17:07
