listing_id,title,price_kes,bedrooms,bathrooms,size_sqm,property_type,neighbourhood,county,listing_type,is_sale,is_nairobi,total_rooms,price_per_sqm,bedroom_category,url,scraped_at,price_raw,bedrooms_raw,bathrooms_raw,size_raw,location
3906304,5 Bed Townhouse with En Suite in Lavington,360000.0,5.0,5.0,,Townhouse,Lavington,,rent,0,1,10.0,,4-5 Bed,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-lavington-3906304,2026-03-05 17:04,"KSh 360,000/ month",5 Bedrooms,5 Bathrooms,,
3926013,4 Bed Townhouse with En Suite in Kilimani,200000.0,4.0,4.0,,Townhouse,Kilimani,,rent,0,1,8.0,,4-5 Bed,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-kilimani-3926013,2026-03-05 17:04,"KSh 200,000/ month",4 Bedrooms,4 Bathrooms,,
3927137,4 Bed Townhouse with En Suite in Kilimani,160000.0,4.0,5.0,,Townhouse,Kilimani,,rent,0,1,9.0,,4-5 Bed,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-kilimani-3927137,2026-03-05 17:04,"KSh 160,000/ month",4 Bedrooms,5 Bathrooms,,
3937609,3 Bed House with En Suite in Runda,180000.0,3.0,2.0,,House,Bedroom Cottage Runda,Westlands,rent,0,1,5.0,,3 Bed,https://www.buyrentkenya.com/listings/furnished-3-bedroom-house-for-rent-runda-3937609,2026-03-05 17:04,"KSh 180,000/ month",3 Bedrooms,2 Bathrooms,,"Bedroom Cottage Runda, Westlands"
3937582,4 Bed House with En Suite at Bomas,250000.0,4.0,4.0,,House,Bomas,,rent,0,0,8.0,,4-5 Bed,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-karen-3937582,2026-03-05 17:04,"KSh 250,000/ month",4 Bedrooms,4 Bathrooms,,
3937597,5 Bed Townhouse with En Suite in Lavington,400000.0,5.0,4.0,,Townhouse,Lavington,,rent,0,1,9.0,,4-5 Bed,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-lavington-3937597,2026-03-05 17:04,"KSh 400,000/ month",5 Bedrooms,4 Bathrooms,,
3937561,5 Bed House with En Suite in Karen,400000.0,5.0,5.0,,House,Karen,,rent,0,1,10.0,,4-5 Bed,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-karen-3937561,2026-03-05 17:04,"KSh 400,000/ month",5 Bedrooms,5 Bathrooms,,
3937524,5 Bed Townhouse with En Suite in Runda,580000.0,5.0,5.0,,Townhouse,Bedroom Runda,Westlands,rent,0,1,10.0,,4-5 Bed,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-runda-3937524,2026-03-05 17:04,"KSh 580,000/ month",5 Bedrooms,5 Bathrooms,,"BEDROOM Runda, Westlands"
3937506,4 Bed House with En Suite in Runda,400000.0,4.0,4.0,,House,Bedroom Runda,Westlands,rent,0,1,8.0,,4-5 Bed,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-runda-3937506,2026-03-05 17:04,"KSh 400,000/ month",4 Bedrooms,4 Bathrooms,,"BEDROOM Runda, Westlands"
3937474,5 Bed House with En Suite in Lavington,430000.0,5.0,5.0,,House,Lavington,,rent,0,1,10.0,,4-5 Bed,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-lavington-3937474,2026-03-05 17:04,"KSh 430,000/ month",5 Bedrooms,5 Bathrooms,,
